,货物名称,三级分类,二级分类,一级分类
2373,热镀方矩馆,线材,钢铁制品,钢铁
2374,热镀方矩管+热镀,管材及附件,钢 材、合金钢材,钢铁
2375,热轧钢带,线材,钢铁制品,钢铁
2376,70克离型原纸1128深黄,线材,钢铁制品,钢铁
2377,热镀+热镀方矩管,管材及附件,钢 材、合金钢材,钢铁
2378,烟梗,经济作物原料、残渣及副产品,经济作物及制品,农、林、牧、渔业产品
2379,68克离型原纸1036,线材,钢铁制品,钢铁
2380,95克高白胶板印刷纸787,线材,钢铁制品,钢铁
2381,95克高白胶板印刷纸889,线材,钢铁制品,钢铁
2382,60克数码印刷纸440,线材,钢铁制品,钢铁
2383,75克纸袋纸1080,线材,钢铁制品,钢铁
2384,热镀管+方矩管+热镀方矩管,管材及附件,钢 材、合金钢材,钢铁
2385,80克纸袋纸970,线材,钢铁制品,钢铁
2386,80克轻型胶版纸960X710,线材,钢铁制品,钢铁
2387,白方配热镀,线材,钢铁制品,钢铁
2388,115克精品牛皮787,线材,钢铁制品,钢铁
2389,60克轻型胶版纸700X1000,线材,钢铁制品,钢铁
2390,70克纸袋纸1120,线材,钢铁制品,钢铁
2391,80克纸袋纸940,线材,钢铁制品,钢铁
2392,钢管34T,线材,钢铁制品,钢铁
2393,钢管50T,线材,钢铁制品,钢铁
2394,针织机,通用设备,普通工业机械及设备,机械设备、电器
2395,纸浆版,线材,钢铁制品,钢铁
2396,锅炉配件,线材,钢铁制品,钢铁
2397,80克轻型胶版纸710X960,线材,钢铁制品,钢铁
2398,60克防锈原纸787,线材,钢铁制品,钢铁
2399,70克防锈原纸787,线材,钢铁制品,钢铁
2400,75克防锈原纸3140,线材,钢铁制品,钢铁
2401,75克防锈原纸1250,线材,钢铁制品,钢铁
2402,75克防锈原纸1020,线材,钢铁制品,钢铁
2403,75克防锈原纸900,线材,钢铁制品,钢铁
2404,热镀热镀方矩管,线材,钢铁制品,钢铁
2405,80克纸袋纸900,线材,钢铁制品,钢铁
2406,70克伸性纸袋纸730,线材,钢铁制品,钢铁
2407,80克纸袋纸840,线材,钢铁制品,钢铁
2408,75克伸性纸袋纸1092,线材,钢铁制品,钢铁
2409,75克纸袋纸,线材,钢铁制品,钢铁
2410,80克伸性纸袋纸1170,线材,钢铁制品,钢铁
2411,空调和柜子,线材,钢铁制品,钢铁
2412,红茶,饮料、果菜汁,饮食品,轻工、医药产品
2413,60克胶印书刊纸870x1140,线材,钢铁制品,钢铁
2414,68克胶印书刊纸870x1295,线材,钢铁制品,钢铁
2415,68克胶印书刊纸870x1200,线材,钢铁制品,钢铁
2416,80克轻型胶版纸977x1092,线材,钢铁制品,钢铁
2417,鸡尾酒,酒（白酒、啤酒、果酒类）,饮食品,轻工、医药产品
2418,圆管发亳州,线材,钢铁制品,钢铁
2419,圆管发长垣,线材,钢铁制品,钢铁
2420,热镀管热镀管,线材,钢铁制品,钢铁
2421,镀锌焊管冀DL7639,线材,钢铁制品,钢铁
2422,80克纸袋纸800,线材,钢铁制品,钢铁
2423,70克离型原纸深黄1058深黄,线材,钢铁制品,钢铁
2424,80克伸性纸袋纸880,线材,钢铁制品,钢铁
2425,68克轻型胶版纸880X1230,线材,钢铁制品,钢铁
2426,60克防锈原纸1530,线材,钢铁制品,钢铁
2427,78克轻型胶版纸890,线材,钢铁制品,钢铁
2428,0克轻型胶版纸960X710,线材,钢铁制品,钢铁
2429,70克轻型胶版纸977X1092,线材,钢铁制品,钢铁
2430,73克离型原纸1183,线材,钢铁制品,钢铁
2431,100克涂布纸质纸720X880,线材,钢铁制品,钢铁
2432,100克涂布纸质纸720X1000,线材,钢铁制品,钢铁
2433,68克离型原纸1245,线材,钢铁制品,钢铁
2434,热镀方矩管   热镀管,管材及附件,钢 材、合金钢材,钢铁
2435,80克伸性纸袋纸2240,线材,钢铁制品,钢铁
2436,75克伸性纸袋纸889,线材,钢铁制品,钢铁
2437,78克离型原纸1205,线材,钢铁制品,钢铁
2438,58克高白胶板印刷纸1205,线材,钢铁制品,钢铁
2439,58克高白胶板印刷纸1425,线材,钢铁制品,钢铁
2440,热镀管 热镀方矩管,管材及附件,钢 材、合金钢材,钢铁
2441,75克伸性纸袋纸1030,线材,钢铁制品,钢铁
2442,75克伸性纸袋纸1040,线材,钢铁制品,钢铁
2443,圆管发濮阳,线材,钢铁制品,钢铁
2444,方矩管＋热镀方矩管,管材及附件,钢 材、合金钢材,钢铁
2445,器具料架,线材,钢铁制品,钢铁
2446,圆管发阜阳,线材,钢铁制品,钢铁
2447,热镀方矩管 方矩管,管材及附件,钢 材、合金钢材,钢铁
2448,90克伸性纸袋纸1060,线材,钢铁制品,钢铁
2449,85克伸性纸袋纸1060,线材,钢铁制品,钢铁
2450,67克离型原纸1050,线材,钢铁制品,钢铁
2451,55克胶印书刊纸889,线材,钢铁制品,钢铁
2452,70克伸性纸袋纸1010,线材,钢铁制品,钢铁
2453,75克纸袋纸1425,线材,钢铁制品,钢铁
2454,75克纸袋纸1440,线材,钢铁制品,钢铁
2455,70克纸袋纸770,线材,钢铁制品,钢铁
2456,80克纸袋纸1240,线材,钢铁制品,钢铁
2457,75克纸袋纸1092,线材,钢铁制品,钢铁
2458,95克纸袋纸1092,线材,钢铁制品,钢铁
2459,70克纸袋纸790,线材,钢铁制品,钢铁
2460,60克数码印刷纸590,线材,钢铁制品,钢铁
2461,60克轻型胶版纸890x1240,线材,钢铁制品,钢铁
2462,圆管发兰州,线材,钢铁制品,钢铁
2463,75克纸袋纸2100,线材,钢铁制品,钢铁
2464,80克伸性纸袋纸930,线材,钢铁制品,钢铁
2465,80克伸性纸袋纸950,线材,钢铁制品,钢铁
2466,80克纸袋纸750,线材,钢铁制品,钢铁
2467,80克伸性纸袋纸690,线材,钢铁制品,钢铁
2468,卡拉宾针叶浆,线材,钢铁制品,钢铁
2469,58克胶印书刊纸760,线材,钢铁制品,钢铁
2470,78克数码印刷纸648,线材,钢铁制品,钢铁
2471,热镀方矩方矩管,线材,钢铁制品,钢铁
2472,70克伸性纸袋纸750,线材,钢铁制品,钢铁
2473,70克纸袋纸787,线材,钢铁制品,钢铁
2474,双诚国际马来矿0719,线材,钢铁制品,钢铁
2475,70克涂布纸质纸787X1092,线材,钢铁制品,钢铁
2476,80克伸性纸袋纸1200,线材,钢铁制品,钢铁
2477,名称55克胶印书刊纸770,线材,钢铁制品,钢铁
2478,60克轻型胶版纸889X1240,线材,钢铁制品,钢铁
2479,75克伸性纸袋纸1000,线材,钢铁制品,钢铁
2480,70克伸性纸袋纸1240,线材,钢铁制品,钢铁
2481,80克纸袋纸920,线材,钢铁制品,钢铁
2482,60克纸袋纸790,线材,钢铁制品,钢铁
2483,方矩管 热镀管 热镀方矩管,管材及附件,钢 材、合金钢材,钢铁
2484,58克轻型胶版纸865,线材,钢铁制品,钢铁
2485,80克伸性纸袋纸820,线材,钢铁制品,钢铁
2486,80克伸性纸袋纸770,线材,钢铁制品,钢铁
2487,58克轻型胶版纸870,线材,钢铁制品,钢铁
2488,65克轻型胶版纸850,线材,钢铁制品,钢铁
2489,螺旋管+热镀,管材及附件,钢 材、合金钢材,钢铁
2490,75克防锈原纸2430,线材,钢铁制品,钢铁
2491,70克纸袋纸920,线材,钢铁制品,钢铁
2492,58克热敏原纸1654,线材,钢铁制品,钢铁
2493,95克纸袋纸1194,线材,钢铁制品,钢铁
2494,95克纸袋纸889,线材,钢铁制品,钢铁
2495,75克防锈原纸2830,线材,钢铁制品,钢铁
2496,775克防锈原纸1050,线材,钢铁制品,钢铁
2497,75克防锈原纸1050,线材,钢铁制品,钢铁
2498,75克防锈原纸1630,线材,钢铁制品,钢铁
2499,75克防锈原纸1540,线材,钢铁制品,钢铁
2500,75克防锈原纸2530,线材,钢铁制品,钢铁
2501,70克离型原纸1026深黄,线材,钢铁制品,钢铁
2502,圆管发辉县,线材,钢铁制品,钢铁
2503,轮胎架,线材,钢铁制品,钢铁
2504,方管发成都,线材,钢铁制品,钢铁
2505,80克纸袋纸1098,线材,钢铁制品,钢铁
2506,镀锌焊管冀DQ5828,线材,钢铁制品,钢铁
2507,镀锌焊管冀DR3398,线材,钢铁制品,钢铁
2508,56克轻型胶版纸870,线材,钢铁制品,钢铁
2509,75克轻型胶版纸700,线材,钢铁制品,钢铁
2510,70克离型原纸1056,线材,钢铁制品,钢铁
2511,75克防锈原纸2270,线材,钢铁制品,钢铁
2512,75克防锈原纸1670,线材,钢铁制品,钢铁
2513,铁箱,线材,钢铁制品,钢铁
2514,95克纸袋纸1020,线材,钢铁制品,钢铁
2515,95克纸袋纸1120,线材,钢铁制品,钢铁
2516,70克伸性纸袋纸830,线材,钢铁制品,钢铁
2517,75克伸性纸袋纸690,线材,钢铁制品,钢铁
2518,70克数码印刷纸390x2,线材,钢铁制品,钢铁
2519,55克轻型胶版纸787x1092,线材,钢铁制品,钢铁
2520,70克轻型胶版纸970,线材,钢铁制品,钢铁
2521,67克离型原纸1055,线材,钢铁制品,钢铁
2522,83克轻型胶版纸889,线材,钢铁制品,钢铁
2523,83克轻型胶版纸787,线材,钢铁制品,钢铁
2524,67克离型原纸1250,线材,钢铁制品,钢铁
2525,60克胶印书刊纸394,线材,钢铁制品,钢铁
2526,缆,线材,钢铁制品,钢铁
2527,75防锈原纸1670,线材,钢铁制品,钢铁
2528,75克防锈原纸2630,线材,钢铁制品,钢铁
2529,80克涂布纸纯质纸1092X787,线材,钢铁制品,钢铁
2530,方矩管  热镀方矩管,管材及附件,钢 材、合金钢材,钢铁
2531,85克伸性纸袋纸780,线材,钢铁制品,钢铁
2532,石子,\,针织、纺织、皮毛及制品,轻工、医药产品
2533,武汉65克轻型胶版纸765,线材,钢铁制品,钢铁
2534,58克期刊杂志纸770,线材,钢铁制品,钢铁
2535,67克离型原纸9500,线材,钢铁制品,钢铁
2536,68克轻型胶版纸850X1168,线材,钢铁制品,钢铁
2537,68克轻型胶版纸960X650,线材,钢铁制品,钢铁
2538,63克轻型胶版纸710X1000,线材,钢铁制品,钢铁
2539,65克轻型胶版纸880X1230,线材,钢铁制品,钢铁
2540,67克轻型胶版纸880X1230,线材,钢铁制品,钢铁
2541,65克轻型胶版纸700X1000,线材,钢铁制品,钢铁
2542,67克轻型胶版纸700X1000,线材,钢铁制品,钢铁
2543,67克轻型胶版纸710X1000,线材,钢铁制品,钢铁
2544,70克防锈原纸2030,线材,钢铁制品,钢铁
2545,55克胶印书刊纸787x1168,线材,钢铁制品,钢铁
2546,68克高白胶板印刷纸770,线材,钢铁制品,钢铁
2547,68克高白胶板印刷纸787,线材,钢铁制品,钢铁
2548,68克高白胶板印刷纸889,线材,钢铁制品,钢铁
2549,58克高白胶板印刷纸787,线材,钢铁制品,钢铁
2550,80克典雅纯质纸890,线材,钢铁制品,钢铁
2551,短绒,线材,钢铁制品,钢铁
2552,n牛奶,乳制品，蜂蜜、王浆、粉,饮食品,轻工、医药产品
2553,70克精品淋膜纸1055,线材,钢铁制品,钢铁
2554,叶蜡石,线材,钢铁制品,钢铁
2555,140克精品牛皮889,线材,钢铁制品,钢铁
2556,100克精品牛皮787,线材,钢铁制品,钢铁
2557,68克离型原纸1250,线材,钢铁制品,钢铁
2558,70克纸袋纸1060,线材,钢铁制品,钢铁
2559,70克数码印刷纸400,线材,钢铁制品,钢铁
2560,70克数码印刷纸400X2,线材,钢铁制品,钢铁
2561,70克数码印刷纸520X2,线材,钢铁制品,钢铁
2562,80克数码印刷纸4000X2,线材,钢铁制品,钢铁
2563,80克数码数印刷纸400X2,线材,钢铁制品,钢铁
2564,70克离型原纸深黄1026,线材,钢铁制品,钢铁
2565,75伸性纸袋纸1020,线材,钢铁制品,钢铁
2566,75克伸性纸袋纸1010,线材,钢铁制品,钢铁
2567,68克离型原纸1400,线材,钢铁制品,钢铁
2568,68克离型原纸945,线材,钢铁制品,钢铁
2569,方矩管+热镀+热镀方矩管,管材及附件,钢 材、合金钢材,钢铁
2570,70克离型原纸1196,线材,钢铁制品,钢铁
2571,不等边角钢,线材,钢铁制品,钢铁
2572,70克离型原纸深黄1096,线材,钢铁制品,钢铁
2573,120克离型原纸1255,线材,钢铁制品,钢铁
2574,热镀方钜管,线材,钢铁制品,钢铁
2575,95克轻型胶版纸889X1194,线材,钢铁制品,钢铁
2576,95克轻型胶版纸787X1092,线材,钢铁制品,钢铁
2577,锌精矿,线材,钢铁制品,钢铁
2578,95克伸性纸袋纸1020,线材,钢铁制品,钢铁
2579,啤酒饮料,线材,钢铁制品,钢铁
2580,75克防锈原纸1530,线材,钢铁制品,钢铁
2581,70克防锈原纸1430,线材,钢铁制品,钢铁
2582,齿轮,通用零部件,普通工业机械及设备,机械设备、电器
2583,75克离型原纸1290,线材,钢铁制品,钢铁
2584,70克浆胶版纸770,线材,钢铁制品,钢铁
2585,68克胶印书刊纸870,线材,钢铁制品,钢铁
2586,果冻奶茶,线材,钢铁制品,钢铁
2587,95克伸性纸袋纸1120,线材,钢铁制品,钢铁
2588,80克伸性纸袋纸870,线材,钢铁制品,钢铁
2589,115克精品年皮纸889,线材,钢铁制品,钢铁
2590,140克粗品牛皮纸787,线材,钢铁制品,钢铁
2591,70克防锈原纸1092,线材,钢铁制品,钢铁
2592,70无防锈原纸830,线材,钢铁制品,钢铁
2593,80克纸袋纸1350,线材,钢铁制品,钢铁
2594,70克纸袋纸1080,线材,钢铁制品,钢铁
2595,58克胶印书刊纸889,线材,钢铁制品,钢铁
2596,67克克轻型胶版纸710x1000,线材,钢铁制品,钢铁
2597,昌民  马来矿,铁矿,铁矿石,金属矿石
2598,55克胶印书刊纸纸870,线材,钢铁制品,钢铁
2599,55克胶印书刊纸787x1194,线材,钢铁制品,钢铁
2600,60克胶印书刊纸445,线材,钢铁制品,钢铁
2601,700克伸性纸袋纸1020,线材,钢铁制品,钢铁
2602,物润马来矿1701009,线材,钢铁制品,钢铁
2603,70克数码印刷纸440X2,线材,钢铁制品,钢铁
2604,60克胶印书刊纸805X1140,线材,钢铁制品,钢铁
2605,80克数码印刷纸400X2,线材,钢铁制品,钢铁
2606,双胶纸5件,线材,钢铁制品,钢铁
2607,70点防锈原纸2270,线材,钢铁制品,钢铁
2608,78克数码印刷纸390X2,线材,钢铁制品,钢铁
2609,95克伸纸袋纸960,线材,钢铁制品,钢铁
2610,80克胶印刷纸780,线材,钢铁制品,钢铁
2611,昌民 马来矿,铁矿,铁矿石,金属矿石
2612,昌民2号    马来矿,铁矿,铁矿石,金属矿石
2613,70克离型原纸深黄1196,线材,钢铁制品,钢铁
2614,70克伸性纸袋纸710,线材,钢铁制品,钢铁
2615,羊口盐,线材,钢铁制品,钢铁
2616,冷轧基料卷SPHC-F,线材,钢铁制品,钢铁
2617,籽,线材,钢铁制品,钢铁
2618,70克离型原纸11198深黄,线材,钢铁制品,钢铁
2619,105克典雅纯质纸889,线材,钢铁制品,钢铁
2620,105克典雅纯质纸787,线材,钢铁制品,钢铁
2621,90克伸性纸袋纸770,线材,钢铁制品,钢铁
2622,70克离型原纸240,线材,钢铁制品,钢铁
2623,65克轻型胶版纸100,线材,钢铁制品,钢铁
2624,70克离型原纸1090,线材,钢铁制品,钢铁
2625,60克轻型胶版纸710,线材,钢铁制品,钢铁
2626,60克轻型胶版纸1000,线材,钢铁制品,钢铁
2627,100离型原纸1300,线材,钢铁制品,钢铁
2628,55克胶印书刊纸876,线材,钢铁制品,钢铁
2629,昌民2/马来矿,铁矿,铁矿石,金属矿石
2630,冷轧带钢,线材,钢铁制品,钢铁
2631,方矩管%2b热镀方矩管,管材及附件,钢 材、合金钢材,钢铁
2632,石材SSH,线材,钢铁制品,钢铁
2633,移动光缆,线材,钢铁制品,钢铁
2634,螺旋%2b热镀,线材,钢铁制品,钢铁
2635,焊%2b热镀管,线材,钢铁制品,钢铁
2636,热镀管%2b热镀方矩管,线材,钢铁制品,钢铁
2637,方%2b热镀,线材,钢铁制品,钢铁
2638,80克本色牛皮纸787,线材,钢铁制品,钢铁
2639,70克本色牛皮纸787,线材,钢铁制品,钢铁
2640,70克本色牛皮纸889,线材,钢铁制品,钢铁
2641,100克本色牛皮纸787,线材,钢铁制品,钢铁
2642,80克本色牛皮纸889,线材,钢铁制品,钢铁
2643,6号机145克本色牛皮纸787,线材,钢铁制品,钢铁
2644,6号机100克本色牛皮纸889,线材,钢铁制品,钢铁
2645,6号机120克本色牛皮纸787,线材,钢铁制品,钢铁
2646,6号机145克本色牛皮纸889,线材,钢铁制品,钢铁
2647,6号机100克本色牛皮纸787,线材,钢铁制品,钢铁
2648,9号机68克轻型胶版纸870,线材,钢铁制品,钢铁
2649,1号机60克胶印书刊纸787,线材,钢铁制品,钢铁
2650,3号机73克离型原纸1233,线材,钢铁制品,钢铁
2651,3号机73克离型原纸1053,线材,钢铁制品,钢铁
2652,3号机67克离型原纸1300,线材,钢铁制品,钢铁
2653,3号机67克离型原纸945,线材,钢铁制品,钢铁
2654,3号机67克离型原纸1100,线材,钢铁制品,钢铁
2655,3号机67克离型原纸1550,线材,钢铁制品,钢铁
2656,3号机73克离型原纸1183,线材,钢铁制品,钢铁
2657,科斯马来矿,线材,钢铁制品,钢铁
2658,热镀方矩管%2b方矩管,管材及附件,钢 材、合金钢材,钢铁
2659,昌民2号 马来矿,铁矿,铁矿石,金属矿石
2660,热镀%2b螺旋,管材及附件,钢 材、合金钢材,钢铁
2661,热镀%2b热镀方矩管,管材及附件,钢 材、合金钢材,钢铁
2662,9米螺纹钢,线材,钢铁制品,钢铁
2663,镍板,线材,钢铁制品,钢铁
2664,%2b热镀管,线材,钢铁制品,钢铁
2665,60克胶印书刊纸700960,线材,钢铁制品,钢铁
2666,70克轻型胶版纸7001000,线材,钢铁制品,钢铁
2667,55克期刊杂志纸870,线材,钢铁制品,钢铁
2668,70克轻型胶版纸8801230,线材,钢铁制品,钢铁
2669,热镀方矩管加方矩管,线材,钢铁制品,钢铁
2670,热镀%2b黑方,管材及附件,钢 材、合金钢材,钢铁
2671,65克离型原纸1170,线材,钢铁制品,钢铁
2672,l螺纹,线材,钢铁制品,钢铁
2673,115克本色牛皮纸787,线材,钢铁制品,钢铁
2674,55克胶印书刊纸8891194,线材,钢铁制品,钢铁
2675,科斯2号马来矿,线材,钢铁制品,钢铁
2676,90克伸性纸袋纸1055,线材,钢铁制品,钢铁
2677,68克轻型胶版纸980710,线材,钢铁制品,钢铁
2678,HRR直条螺纹钢汽运看清楚要求,线材,钢铁制品,钢铁
2679,68克轻型胶版纸640,线材,钢铁制品,钢铁
2680,70克轻胶版纸690980980690,线材,钢铁制品,钢铁
2681,科斯2/马来矿,铁矿,铁矿石,金属矿石
2682,海信冰箱,家用电器,电力设备、电器机械及器材,机械设备、电器
2683,热镀管%2b螺旋管,线材,钢铁制品,钢铁
2684,HTP汽车运输请看清楚要求,线材,钢铁制品,钢铁
2685,80伸性纸袋纸780,线材,钢铁制品,钢铁
2686,70克轻型胶版纸730,线材,钢铁制品,钢铁
2687,热镀管热镀方矩管方矩管,线材,钢铁制品,钢铁
2688,热镀%2b方,管材及附件,钢 材、合金钢材,钢铁
2689,68克轻型胶版纸970,线材,钢铁制品,钢铁
2690,68克胶印书刊纸880,线材,钢铁制品,钢铁
2691,68克轻型胶版纸730,线材,钢铁制品,钢铁
2692,68克离型原纸深黄1035,线材,钢铁制品,钢铁
2693,68克离型原纸1026深黄,线材,钢铁制品,钢铁
2694,科斯2 马来矿,铁矿,铁矿石,金属矿石
2695,68克离型原纸1035深黄,线材,钢铁制品,钢铁
2696,减震器齿轮,通用零部件,普通工业机械及设备,机械设备、电器
2697,热镀管%2b方矩管,线材,钢铁制品,钢铁
2698,科斯/马来矿,铁矿,铁矿石,金属矿石
2699,科斯2# 马来矿,铁矿,铁矿石,金属矿石
2700,鹅卵石,线材,钢铁制品,钢铁
2701,热镀%2b热方,管材及附件,钢 材、合金钢材,钢铁
2702,科斯1# 马来矿,铁矿,铁矿石,金属矿石
2703,科斯1 马来矿,铁矿,铁矿石,金属矿石
2704,绿叶,线材,钢铁制品,钢铁
2705,绿叶相思浆,线材,钢铁制品,钢铁
2706,热镀方矩管%2b热镀管,管材及附件,钢 材、合金钢材,钢铁
2707,热镀管方矩管热镀方矩管,线材,钢铁制品,钢铁
2708,67克离型原纸946,线材,钢铁制品,钢铁
2709,67克离型原纸1297,线材,钢铁制品,钢铁
2710,配电箱,电子、光、磁、超声波装置的元器件、零件、附件,电子、电讯设备及器材,机械设备、电器
2711,镀铬卷,线材,钢铁制品,钢铁
2712,卷-纸,线材,钢铁制品,钢铁
2713,黑方加热方发南昌,线材,钢铁制品,钢铁
2714,12x9米钢筋,线材,钢铁制品,钢铁
2715,三叶草/澳块,线材,钢铁制品,钢铁
2716,羊口博汇盐,线材,钢铁制品,钢铁
2717,三叶草93A澳块,线材,钢铁制品,钢铁
2718,螺旋管%2b热镀管,线材,钢铁制品,钢铁
2719,日照螺纹钢连云港,线材,钢铁制品,钢铁
2720,马牌浆,线材,钢铁制品,钢铁
2721,回镀管热镀方管区,线材,钢铁制品,钢铁
2722,和风2 马来矿,铁矿,铁矿石,金属矿石
2723,热镀管%2b方矩管%2b热镀方矩管,线材,钢铁制品,钢铁
2724,方矩管%2b热镀管,管材及附件,钢 材、合金钢材,钢铁
2725,和风2# 马来矿,铁矿,铁矿石,金属矿石
2726,胶水lma,线材,钢铁制品,钢铁
2727,热镀方矩管热镀管热镀管,线材,钢铁制品,钢铁
2728,热镀方法长葛,线材,钢铁制品,钢铁
2729,热镀管燃气管,线材,钢铁制品,钢铁
2730,热镀管燃气,线材,钢铁制品,钢铁
2731,王牌冰箱。,家用电器,电力设备、电器机械及器材,机械设备、电器
2732,美菱冰箱。,家用电器,电力设备、电器机械及器材,机械设备、电器
2733,圆钢管,线材,钢铁制品,钢铁
2734,热镀管%2b热镀,管材及附件,钢 材、合金钢材,钢铁
2735,HRR直条螺纹钢,线材,钢铁制品,钢铁
2736,热轧%2b正火热处理汽运,线材,钢铁制品,钢铁
2737,低温螺纹钢汽运,线材,钢铁制品,钢铁
2738,王牌冰箱,家用电器,电力设备、电器机械及器材,机械设备、电器
2739,容声洗衣机,家用电器,电力设备、电器机械及器材,机械设备、电器
2740,3号机65克离型原纸945,线材,钢铁制品,钢铁
2741,成品小裁-70克复印纸210×297,加工纸,纸及制品(十类),轻工、医药产品
2742,马克B煤,线材,钢铁制品,钢铁
2743,热镀方矩管%2b方矩管%2b热镀管,管材及附件,钢 材、合金钢材,钢铁
2744,镀锌焊管冀DQ9122,线材,钢铁制品,钢铁
2745,镀锌焊管冀DN2453,线材,钢铁制品,钢铁
2746,镀锌焊管冀DW5899,线材,钢铁制品,钢铁
2747,卷筒纸GYG,线材,钢铁制品,钢铁
2748,卷纸PHJ,线材,钢铁制品,钢铁
2749,石材PHJ,线材,钢铁制品,钢铁
2750,王牌洗衣机,家用电器,电力设备、电器机械及器材,机械设备、电器
2751,镀锌焊管冀DN8170,线材,钢铁制品,钢铁
2752,镀锌焊管冀DS7809,线材,钢铁制品,钢铁
2753,星星冷柜,线材,钢铁制品,钢铁
2754,和风1/马来矿,铁矿,铁矿石,金属矿石
2755,豆粕PHJ,\,针织、纺织、皮毛及制品,轻工、医药产品
2756,酒LMA,酒（白酒、啤酒、果酒类）,饮食品,轻工、医药产品
2757,牛奶LMA,乳制品，蜂蜜、王浆、粉,饮食品,轻工、医药产品
2758,HRR直条螺纹钢汽运,线材,钢铁制品,钢铁
2759,袋装合金和钢板汽运请看清楚要求,线材,钢铁制品,钢铁
2760,80克胶印印刷纸870,线材,钢铁制品,钢铁
2761,承力索,线材,钢铁制品,钢铁
2762,脚手架,线材,钢铁制品,钢铁
2763,纸浆XLH,线材,钢铁制品,钢铁
2764,油包LMA,线材,钢铁制品,钢铁
2765,纸浆PHJ,线材,钢铁制品,钢铁
2766,纸浆SJ,线材,钢铁制品,钢铁
2767,镀锌焊管冀DQ6971,线材,钢铁制品,钢铁
2768,鑫成马来矿0701,线材,钢铁制品,钢铁
2769,星星冰柜,家用电器,电力设备、电器机械及器材,机械设备、电器
2770,螺纹钢22×12,线材,钢铁制品,钢铁
2771,螺纹钢20×12,线材,钢铁制品,钢铁
2772,14×12螺纹钢,线材,钢铁制品,钢铁
2773,20×12螺纹钢,家具、坐具,日用工业品,轻工、医药产品
2774,14×12米螺纹,线材,钢铁制品,钢铁
2775,20×12米螺纹,家具、坐具,日用工业品,轻工、医药产品
2776,油菜饼,线材,钢铁制品,钢铁
2777,和风1#马来矿,铁矿,铁矿石,金属矿石
2778,天然烟片橡胶,线材,钢铁制品,钢铁
2779,分解机热镀方矩管,线材,钢铁制品,钢铁
2780,桥面板,线材,钢铁制品,钢铁
2781,成品小裁70复印纸,线材,钢铁制品,钢铁
2782,锅炉,线材,钢铁制品,钢铁
2783,60克胶印书刊纸8701295,线材,钢铁制品,钢铁
2784,螺纹钢陕工建,线材,钢铁制品,钢铁
2785,60克胶印书刊纸8701100,线材,钢铁制品,钢铁
2786,热镀方矩%2b热镀管,线材,钢铁制品,钢铁
2787,60克胶印书刊纸8701200,线材,钢铁制品,钢铁
2788,80克胶印书刊纸7181000,线材,钢铁制品,钢铁
2789,螺纹钢22×2,线材,钢铁制品,钢铁
2790,黄骅大载铁矿粉,线材,钢铁制品,钢铁
2791,迁安热镀光管,线材,钢铁制品,钢铁
2792,螺纹钢 25×12,线材,钢铁制品,钢铁
2793,115克染色原纸787,线材,钢铁制品,钢铁
2794,镀锌焊管冀DQ9335,线材,钢铁制品,钢铁
2795,60克胶印书刊纸8301295,线材,钢铁制品,钢铁
2796,80克胶印印刷纸,线材,钢铁制品,钢铁
2797,食品添加剂LLL,\,针织、纺织、皮毛及制品,轻工、医药产品
2798,智,线材,钢铁制品,钢铁
2799,螺纹钢28×12米,\,针织、纺织、皮毛及制品,轻工、医药产品
2800,螺纹钢25×12米,\,针织、纺织、皮毛及制品,轻工、医药产品
2801,螺纹钢32×12米,\,针织、纺织、皮毛及制品,轻工、医药产品
2802,螺纹钢22×12米,\,针织、纺织、皮毛及制品,轻工、医药产品
2803,60克胶印胶版纸770,线材,钢铁制品,钢铁
2804,60克胶印书刊纸8051104,线材,钢铁制品,钢铁
2805,成品小裁70克复印纸,线材,钢铁制品,钢铁
2806,纸箱PHJ,线材,钢铁制品,钢铁
2807,14X12螺纹,线材,钢铁制品,钢铁
2808,16X12螺纹,线材,钢铁制品,钢铁
2809,螺纹钢12×1,线材,钢铁制品,钢铁
2810,螺纹钢18×12米,\,针织、纺织、皮毛及制品,轻工、医药产品
2811,螺纹32X12米,线材,钢铁制品,钢铁
2812,16×12螺纹钢,线材,钢铁制品,钢铁
2813,28×12螺纹钢,线材,钢铁制品,钢铁
2814,螺纹32X12,线材,钢铁制品,钢铁
2815,12×12螺纹钢,线材,钢铁制品,钢铁
2816,伊利牛奶,乳制品，蜂蜜、王浆、粉,饮食品,轻工、医药产品
2817,牛奶261219,线材,钢铁制品,钢铁
2818,70克伸性纸袋纸,线材,钢铁制品,钢铁
2819,牛奶261345,线材,钢铁制品,钢铁
2820,牛奶261349,线材,钢铁制品,钢铁
2821,必填70克胶版印书刊纸,线材,钢铁制品,钢铁
2822,140克胶印书刊纸,线材,钢铁制品,钢铁
2823,牛奶261651,线材,钢铁制品,钢铁
2824,80克伸性纸袋纸,线材,钢铁制品,钢铁
2825,牛奶262068,线材,钢铁制品,钢铁
2826,70克胶印复印纸,线材,钢铁制品,钢铁
2827,牛奶262234,线材,钢铁制品,钢铁
2828,工字钢%2b槽钢杨祬山,型材,钢 材、合金钢材,钢铁
2829,牛奶262586,线材,钢铁制品,钢铁
2830,牛奶262585,线材,钢铁制品,钢铁
2831,牛奶262658,线材,钢铁制品,钢铁
2832,麦格尼飞纸箱,线材,钢铁制品,钢铁
