货物全称,一级分类,二级分类,三级分类
68克薄本纸865,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克薄本纸1170,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
95克薄本纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
95克薄本纸767,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克薄本纸865,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
95克薄本纸857,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克全木浆胶版纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
燃气,待定,,
螺纹拼车,钢铁,钢 材、合金钢材,线材
75克伸性纸1020,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸297X297,轻工、医药产品,纸及制品(十类),加工纸
80克全木浆复印纸182X257,轻工、医药产品,纸及制品(十类),加工纸
58克全木浆胶版纸1020,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸910,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木胶版纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸718X1030,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精品复合原纸1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克精品复合原纸1194,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克精品复合原纸1080,轻工、医药产品,纸及制品(十类),纸板（原纸）
玉米浆,待定,,
70克轻型胶纸575,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸700,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸860,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
白方16,钢铁,钢 材、合金钢材,管材及附件
98克薄本纸787X724,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克薄本纸755X709,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
52克铜版原纸690,轻工、医药产品,纸及制品(十类),纸板（原纸）
豆粨,粮食,杂粮,其它粮食及粉、渣
78克全木浆胶版纸750,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克精品复合原纸1095,轻工、医药产品,纸及制品(十类),纸板（原纸）
60克精品复合原纸1100,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克全木浆胶版纸720X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
65克全木浆胶版纸1092X775,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
汽车衡,机械设备、电器,仪器仪表、计量器具、工具,计量器具
65克全木浆胶版纸550,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
三级普通螺纹32,钢铁,钢 材、合金钢材,线材
100克全木浆胶版纸795,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
118克全木浆胶版纸740,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
F9框架箱,机械设备、电器,交通运输设备,其它运输辅件及器材
帘子布1,轻工、医药产品,针织、纺织、皮毛及制品,布匹（机织、绒织、网织物、纱罗）
70克全木浆胶版纸875x722,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克全木浆胶版纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸787x1050,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸725,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸1020x725,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
螺纹16抗震16,钢铁,钢 材、合金钢材,线材
抗震14螺纹14,钢铁,钢 材、合金钢材,线材
风电叶片,机械设备、电器,电力设备、电器机械及器材,电工器材
60克全木浆胶版纸775,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
52克铸涂原纸1195,轻工、医药产品,纸及制品(十类),纸板（原纸）
52克铸涂原纸1040,轻工、医药产品,纸及制品(十类),纸板（原纸）
水泥熟料,水泥,硅酸盐等水泥及水泥熟料,\
65克全木浆胶版纸940,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克全木浆胶版纸700,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克薄本纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸840,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克薄本纸750,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克薄本纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克薄本纸857X1170,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸1092x850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆胶版纸297x420,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
石墨块,非金属矿石,天然石墨,\
58克全木浆胶版纸1560,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸1100,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸1260,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
62克高松微涂纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
57克无碳复写原纸1671,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克全木浆胶版纸904,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸822,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克薄本纸822,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆胶版纸726,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克全木浆胶版纸850X1300,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
螺纹管,钢铁,钢 材、合金钢材,线材
豆粨33,粮食,杂粮,其它粮食及粉、渣
67克涂布纯质纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
冻牛肉,农、林、牧、渔业产品,畜、禽、兽及制品,畜、禽、兽肉及制品
保险杠,机械设备、电器,交通运输设备,其它运输辅件及器材
59克全木浆胶版纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
吊车配重,机械设备、电器,交通运输设备,其它运输辅件及器材
80克涂布纯质纸715X960,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
67克全木浆胶版纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
67克全木浆胶版纸860,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
67克全木浆胶版纸760,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
67克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
67克全木浆胶版纸730,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克伸性纸1020,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克全木浆胶版纸1020,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
67克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
防盗门,待定,,
石子Y,矿物性建筑材料,石料及石制品,\
80克高松微涂纸710x1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克高松微涂纸,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克高松微涂纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克涂布纯质纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克涂布纯质纸880X1270,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克涂布纯质纸880X1120,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克高松微涂纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克高松微涂纸710X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克涂布纯质纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克涂布纯质纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
叶片,待定,,
100彩色激光打印纸210X297,机械设备、电器,专用机械、设备及制品,造纸、印刷、出版机械
宝马,待定,,
68克薄本纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克薄本纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克薄本纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克全木浆胶版纸680,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克涂布纯质纸880X230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克高松微涂纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克薄本纸450x2,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克涂布纯质纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克涂布纯质纸720X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克全木浆胶版纸730,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克全木浆复印纸710X1000,轻工、医药产品,纸及制品(十类),加工纸
70克全木浆胶版纸724,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
机柜,待定,,
78克高松微涂纸660X960,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克全木浆胶版纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸832,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸875,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸1060,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克全木浆胶版纸950,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
茶具,轻工、医药产品,日用工业品,陶瓷制品
70克全木复印纸210X297,轻工、医药产品,纸及制品(十类),加工纸
70克全木复印纸182X257,轻工、医药产品,纸及制品(十类),加工纸
80克全木复印纸210X297,轻工、医药产品,纸及制品(十类),加工纸
78克高松微涂纸1230X880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克高松微涂纸1092X770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克薄本纸800,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克薄本纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克薄本纸760,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
表胶,化工原料及制品,其它未列名化工原料及制品,\
78克高松微涂纸1092x770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克高松微涂纸880x1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
67克薄本纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
67克薄本纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸728,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸605,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸846,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克薄本纸840,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克薄本纸730,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
电子产品l,待定,,
75克薄本纸700,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克铜版原纸794,轻工、医药产品,纸及制品(十类),纸板（原纸）
75克薄本纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克薄本纸7718,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸843,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
变速器,机械设备、电器,普通工业机械及设备,锅炉、发动机 动力装置及辅助设备
58克全木浆胶版纸1210,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸1255,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
白方50吨,钢铁,钢 材、合金钢材,管材及附件
58克全木浆胶版纸935,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克涂布纯质纸1230X880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克高松微涂纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸875,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木复印纸420X297,轻工、医药产品,纸及制品(十类),加工纸
65克高松微涂纸920x1285,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克高松微涂纸880x1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
文件,待定,,
100克全木浆胶版纸792,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
登陆艇,其它货类,军用物资、武器及用具,\
68克高松微涂纸920X1285,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克高松微涂纸710x1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
7595克薄本纸767,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克高松微涂纸700X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
118克全木浆胶版纸450,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克高松微涂纸920x1285,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
118克克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克轻型胶纸710,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克轻型胶纸780,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
鼓风机,机械设备、电器,专用机械、设备及制品,滚压、离心、干燥机械
58克全木浆胶版纸720x1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
65克全木浆胶版纸775x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸297x420,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸400,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
白卡,待定,,
65克全木浆胶版纸1092x775,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克涂布纯纸1092X787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
97克涂布纯纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克高松微涂纸710x1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克涂布纯质纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克高松微涂纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克全木浆胶版纸780x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克全木浆胶版纸1011,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克涂布纯质纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克高松微涂纸710X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
石墨,非金属矿石,天然石墨,\
98克全木浆胶版纸970,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克全木浆胶版纸1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克全木浆胶版纸1680,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克全木浆胶版纸1764,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克全木浆胶版纸1474,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克全木浆胶版纸864,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克全木浆胶版纸984,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克全木浆胶版纸1724,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克全木浆胶版纸1764,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克全木浆胶版纸968,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
搅拌机设备,机械设备、电器,专用机械、设备及制品,重工业机械、工程机械及零件
沙石,矿物性建筑材料,石料及石制品,\
70克全木浆胶版纸780x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克全木浆胶版纸897,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
铜材,待定,,
100克全木浆胶版纸450,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克全木浆胶版纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸710,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸889X1300,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克全木浆胶版纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克全木浆胶版纸880X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克薄本纸780,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
汽车衡秤台,机械设备、电器,仪器仪表、计量器具、工具,计量器具
65克全木浆胶版纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶印书纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克高松微涂纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
打包纸,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克全木浆胶版纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
机电配件,待定,,
80精品复合原纸530,轻工、医药产品,纸及制品(十类),纸板（原纸）
118克全木浆胶版纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
118克全木浆胶版纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克全木浆胶版纸1010,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克高松微涂纸1230x880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
毛料,待定,,
镀锌圆钢,钢铁,钢 材、合金钢材,管材及附件
稳定剂,化工原料及制品,其它未列名化工原料及制品,\
78克高松微涂纸720X1015,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克全木浆胶版纸909,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
中性胶,化工原料及制品,其它未列名化工原料及制品,\
冻牛产品,农、林、牧、渔业产品,畜、禽、兽及制品,畜、禽、兽肉及制品
58克电商原纸1042,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克电商原纸1417,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克电商原纸1102,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克电商原纸1262,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克电商原纸1252,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克电商原纸1272,轻工、医药产品,纸及制品(十类),纸板（原纸）
56克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
电阻柜,待定,,
75克薄本纸57,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克高松微涂纸696,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克高松微涂纸1150X820,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
增强剂,化工原料及制品,其它未列名化工原料及制品,\
低硫精煤,煤炭及制品,原煤,无烟煤
65克全木浆胶版纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
9号机100克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
9号机80克全木浆胶版纸900,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
9号机80克全木浆胶版纸650,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
9号机78克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
9号机60克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
9号机58克全木浆胶版纸900,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
9号机68克全木浆胶版纸900,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
9号机100克全木浆胶版纸780X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
散装水泥,水泥,硅酸盐等水泥及水泥熟料,
60克全木浆胶版纸850x1168,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
桥立柱,待定,,
筛分机,机械设备、电器,专用机械、设备及制品,重工业机械、工程机械及零件
78克薄本纸870x1210,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
105克全木浆胶版纸7201000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
52克鋳涂原纸1086,轻工、医药产品,纸及制品(十类),纸板（原纸）
52克鋳涂原纸1040,轻工、医药产品,纸及制品(十类),纸板（原纸）
52克鋳涂原纸1190,轻工、医药产品,纸及制品(十类),纸板（原纸）
产品纸,待定,,
75克薄本纸573,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶印刊纸7871092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
螺紋,钢铁,钢 材、合金钢材,线材
80克全木浆胶版纸7871092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克高松微涂纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
95克伸性纸1010,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
微晶石,非金属矿石,其它未列名非金属矿石,
65克全木浆胶版纸7871092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
螺管,钢铁,钢 材、合金钢材,线材
布架,待定,,
ABS树脂,化工原料及制品,化工品,合成树脂、聚合物
校具,待定,,
黑方%2b白方,钢铁,钢 材、合金钢材,管材及附件
80克全木浆复印纸210297,轻工、医药产品,纸及制品(十类),加工纸
100克全木浆胶版纸780,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
大理石LMA,非金属矿石,石灰石,\
水稻LMA,农、林、牧、渔业产品,经济作物及制品,经济作物原料、残渣及副产品
58克电商原纸1657,轻工、医药产品,纸及制品(十类),纸板（原纸）
柜子,轻工、医药产品,日用工业品,家具、坐具
60克全木浆胶版纸910,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
热方%2b黑方,钢铁,钢 材、合金钢材,管材及附件
固着剂,化工原料及制品,其它未列名化工原料及制品,\
焊%2b螺,钢铁,钢 材、合金钢材,线材
泡沫胶带,化工原料及制品,其它未列名化工原料及制品,\
65克全木浆胶版纸765,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
打包草,农、林、牧、渔业产品,经济作物及制品,经济作物原料、残渣及副产品
98克全木浆胶版纸787X1092889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
棕榈仁粕,农、林、牧、渔业产品,经济作物及制品,经济作物原料、残渣及副产品
12x9m螺纹等,钢铁,钢 材、合金钢材,线材
12螺纹等,钢铁,钢 材、合金钢材,线材
纸盒,轻工、医药产品,纸及制品(十类),纸制品
低水泥浇注料,矿物性建筑材料,水泥制品,\
行车,机械设备、电器,专用机械、设备及制品,重工业机械、工程机械及零件
薄本纸,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
低压柜,待定,,
易拉罐,有色金属,铝,铝制品
98克全木浆胶版纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克高松微涂纸780,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克高松微涂纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
废纸LMA,其它货类,各种废旧物品,\
大理石PHJ,非金属矿石,石灰石,\
废纸SJ,其它货类,各种废旧物品,\
铁粉·,金属矿石,铁矿石,铁矿
锅PHJ,轻工、医药产品,日用工业品,金属制品
12石子,矿物性建筑材料,石料及石制品,\
78克全木浆胶版纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
钢丝PHJ,钢铁,生铁、铁合金、非合金钢,铁丝或非合金钢丝
干辣椒,轻工、医药产品,饮食品,其它未列名饮食及调味食品
B钢,待定,,
牵引车头,机械设备、电器,专用机械、设备及制品,重工业机械、工程机械及零件
平板纸PHJ,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
洗手液,化工原料及制品,日用化工品,卫生品(洗涤剂、皂类)
成品平板80克精制轻量涂布纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
钢筋6钢银99345,钢铁,钢 材、合金钢材,线材
钢筋6钢银99346,钢铁,钢 材、合金钢材,线材
钢筋6钢银99347,钢铁,钢 材、合金钢材,线材
钢筋6钢银99348,钢铁,钢 材、合金钢材,线材
大巴空调,机械设备、电器,专用机械、设备及制品,制冷、加热、燃烧设备
钢筋6钢银99349,钢铁,钢 材、合金钢材,线材
钢筋6钢银99350,钢铁,钢 材、合金钢材,线材
钢筋6钢银99351,钢铁,钢 材、合金钢材,线材
钢筋3钢银99352,钢铁,钢 材、合金钢材,线材
钢筋6钢银59852,钢铁,钢 材、合金钢材,线材
钢筋6钢银59915,钢铁,钢 材、合金钢材,线材
钢筋6钢银59536,钢铁,钢 材、合金钢材,线材
钢筋立恒01,钢铁,钢 材、合金钢材,线材
钢筋立恒02,钢铁,钢 材、合金钢材,线材
钢筋立恒03,钢铁,钢 材、合金钢材,线材
钢筋立恒04,钢铁,钢 材、合金钢材,线材
钢筋立恒05,钢铁,钢 材、合金钢材,线材
钢筋立恒06,钢铁,钢 材、合金钢材,线材
钢筋立恒07,钢铁,钢 材、合金钢材,线材
钢筋立恒08,钢铁,钢 材、合金钢材,线材
钢筋立恒09,钢铁,钢 材、合金钢材,线材
钢筋立恒10,钢铁,钢 材、合金钢材,线材
钢筋立恒11,钢铁,钢 材、合金钢材,线材
钢筋立恒12,钢铁,钢 材、合金钢材,线材
钢筋立恒13,钢铁,钢 材、合金钢材,线材
钢筋立恒14,钢铁,钢 材、合金钢材,线材
钢筋立恒15,钢铁,钢 材、合金钢材,线材
钢筋立恒16,钢铁,钢 材、合金钢材,线材
钢筋立恒17,钢铁,钢 材、合金钢材,线材
钢筋立恒18,钢铁,钢 材、合金钢材,线材
钢筋立恒19,钢铁,钢 材、合金钢材,线材
钢筋立恒20,钢铁,钢 材、合金钢材,线材
钢筋3钢银99354,钢铁,钢 材、合金钢材,线材
钢筋3钢银99357,钢铁,钢 材、合金钢材,线材
钢筋立恒21,钢铁,钢 材、合金钢材,线材
钢筋立恒22,钢铁,钢 材、合金钢材,线材
钢筋立恒23,钢铁,钢 材、合金钢材,线材
钢筋立恒24,钢铁,钢 材、合金钢材,线材
钢筋立恒25,钢铁,钢 材、合金钢材,线材
钢筋立恒26,钢铁,钢 材、合金钢材,线材
钢筋立恒27,钢铁,钢 材、合金钢材,线材
钢筋立恒28,钢铁,钢 材、合金钢材,线材
钢筋立恒29,钢铁,钢 材、合金钢材,线材
钢筋立恒30,钢铁,钢 材、合金钢材,线材
钢筋立恒31,钢铁,钢 材、合金钢材,线材
钢筋立恒32,钢铁,钢 材、合金钢材,线材
钢筋立恒33,钢铁,钢 材、合金钢材,线材
钢筋立恒34,钢铁,钢 材、合金钢材,线材
钢筋立恒35,钢铁,钢 材、合金钢材,线材
钢筋立恒36,钢铁,钢 材、合金钢材,线材
钢筋立恒37,钢铁,钢 材、合金钢材,线材
钢筋立恒38,钢铁,钢 材、合金钢材,线材
钢筋立恒39,钢铁,钢 材、合金钢材,线材
钢筋立恒40,钢铁,钢 材、合金钢材,线材
钢筋3钢银99358,钢铁,钢 材、合金钢材,线材
空调物料,机械设备、电器,专用机械、设备及制品,制冷、加热、燃烧设备
钢筋金亿59772,钢铁,钢 材、合金钢材,线材
钢筋3钢银99359,钢铁,钢 材、合金钢材,线材
钢筋3钢银99360,钢铁,钢 材、合金钢材,线材
钢筋3钢银99361,钢铁,钢 材、合金钢材,线材
钢筋3钢银99367,钢铁,钢 材、合金钢材,线材
